,1_times_lag5,2_times_lag5,3_times_lag5,4_times_lag5,5_times_lag5,6_times_lag5,7_times_lag5,8_times_lag5,9_times_lag5,10_times_lag5,11_times_lag5,12_times_lag5,13_times_lag5,14_times_lag5,15_times_lag5,16_times_lag5,17_times_lag5,18_times_lag5,19_times_lag5,20_times_lag5,test_percentage
0,-53.839745,-56.076763,-67.89013,-64.50496,-56.118427,-49.75303,-62.425495,-61.199493,-58.14959,-53.941597,-52.78878,-52.44061,-48.312283,-52.931274,-54.361748,-50.535625,-62.765923,-64.07354,-61.411236,-55.234512,74.12900000000036
1,-88.30827,-100.54845,-93.00843,-98.7701,-90.80319,-95.90588,-87.15639,-97.50941,-91.6034,-91.88317,-81.621864,-90.964355,-89.039566,-95.41757,-92.045074,-96.27987,-93.67693,-90.03006,-89.833855,-81.104164,-236.8380000000002
2,-40.4843,-47.556374,-60.83786,-56.849873,-49.57599,-51.758255,-44.171776,-52.848156,-56.19836,-46.955963,-51.346245,-48.191635,-50.44147,-53.121815,-47.05652,-54.348087,-52.798656,-43.70234,-32.791565,-60.72647,61.41000000000031
3,-53.283173,-56.780304,-55.429955,-58.29516,-49.833427,-54.935345,-62.06809,-56.121395,-56.177376,-52.43701,-53.635017,-53.02298,-48.088684,-58.712524,-57.17787,-66.051704,-69.94575,-69.197975,-47.310287,-58.95572,-169.70800000000008
4,-60.384094,-69.20727,-57.662525,-57.928276,-56.014214,-63.40407,-65.7993,-50.315052,-76.9826,-51.169952,-60.16645,-49.28574,-59.253914,-65.83766,-52.99518,-55.79047,-60.681824,-51.218723,-47.44257,-53.208473,6.156999999999698
5,-68.211044,-84.078064,-74.71545,-70.48488,-72.44681,-68.33428,-66.86245,-63.46991,-72.01648,-75.399536,-72.95875,-72.15101,-75.65968,-76.629456,-77.28808,-76.42415,-73.914795,-72.83613,-69.22937,-75.30007,-73.26399999999967
6,1.3466358,3.7025042,4.779399,9.805255,15.844335,13.358565,10.463939,14.259667,2.5184307,10.1832905,10.822423,9.002923,6.8362656,-1.3826532,7.8587685,11.31475,5.9936037,1.7558498,8.127843,8.294754,58.052000000000135
7,-43.454903,-49.620705,-44.953503,-43.972965,-44.363365,-42.776905,-47.22728,-35.60859,-46.296494,-49.786133,-49.417362,-45.24761,-49.358242,-44.721138,-51.396095,-50.45612,-54.126926,-47.224625,-43.05875,-50.096825,-106.67900000000054
8,-30.762634,-28.913116,-28.91211,-26.15905,-20.435474,-28.297823,-30.962772,-23.218075,-26.266125,-27.449253,-28.560373,-29.594408,-29.12417,-27.944891,-26.320314,-20.24743,-31.652367,-30.077671,-28.302923,-28.829994,12.866700000000037
9,5.293749,-2.54152,0.55121136,1.2924976,1.8854809,-0.30021858,-3.2244797,2.891818,-6.062702,-2.2476158,-3.0851183,-1.1018848,-0.31531048,8.053442,-1.5391912,-0.6122322,-0.9828949,-4.0004263,-0.9051447,-5.043238,93.90260000000035
10,4.715599,-1.4235497,4.3230715,6.1803627,6.5259027,-3.0513144,9.202572,4.995591,-6.990621,3.7299166,3.6595259,2.3009548,8.855886,13.27989,4.299595,6.6751375,1.1635742,3.2309551,0.10453987,8.854077,-31.045500000000175
11,-9.270748,-23.044949,-24.402145,-22.613113,-18.021374,-24.512222,-17.165789,-19.975946,-29.443188,-23.451157,-22.630617,-22.39397,-23.572016,-18.823442,-18.642317,-20.274273,-22.047297,-10.657574,-14.451778,-21.141808,-96.21219999999994
12,20.112453,15.336038,13.090857,13.770227,15.474184,7.2367992,14.959217,12.1696615,6.3608713,8.230415,15.677309,13.56817,13.994134,11.383503,16.811623,19.257893,1.6408215,16.431276,13.790238,16.943441,36.080799999999726
13,-38.8818,-39.742146,-37.92704,-35.646027,-35.177197,-43.311527,-44.17303,-37.419662,-44.725094,-39.545143,-34.12426,-29.019182,-38.537704,-30.64025,-37.069386,-27.980255,-48.08596,-32.868496,-35.69294,-32.704582,21.952500000000327
14,-122.969284,-134.42358,-123.1768,-124.79252,-124.07717,-130.68256,-124.81719,-131.07913,-129.30537,-131.62471,-119.28395,-122.09138,-130.8167,-126.3955,-125.73363,-124.98595,-129.25992,-122.93275,-126.51693,-122.147354,-188.72949999999992
15,-113.35971,-117.16213,-119.373665,-117.5652,-119.144745,-122.59292,-115.2001,-119.392784,-123.25655,-115.01694,-120.99809,-110.20165,-118.97477,-111.115486,-116.52895,-114.98077,-118.0055,-115.87003,-109.49367,-121.14756,-14.227600000000166
16,-46.960052,-47.358242,-45.748726,-46.154865,-45.438747,-45.303005,-46.57054,-44.136894,-51.845764,-43.42257,-47.034393,-46.536514,-49.899067,-48.857643,-50.280884,-55.96636,-56.994843,-58.828728,-46.739174,-48.79084,-79.89690000000019
17,35.399715,28.882095,35.40749,44.26332,41.052082,35.74282,35.526485,41.45777,22.8579,45.048813,39.74533,46.604015,32.90603,33.457287,39.98908,40.25702,35.14992,41.591293,46.48093,43.478245,81.93870000000015
18,1.6421375,-4.8805423,3.6554728,2.9163609,0.92614365,3.869254,2.0163755,4.2956047,1.4520082,-1.3358746,-2.0369911,0.44925308,-0.7159643,2.4298553,-4.3245487,-3.591734,-7.094664,-1.8849049,5.9138613,-4.128374,-48.746000000000095
19,2.2874088,5.954529,6.3017406,9.504864,15.375167,10.73265,10.951257,10.248401,8.930963,7.1032295,9.961954,6.154764,8.242505,8.288783,9.834182,12.101614,7.3038454,5.18785,12.437129,5.086934,60.716699999999946
20,28.117126,22.638546,28.03199,25.216068,26.749378,28.08662,21.159525,30.499233,24.12867,18.131231,21.89678,21.281105,29.37712,32.83746,24.951874,20.672749,23.038807,26.75879,30.184753,20.813856,-10.323399999999765
21,19.467615,14.721027,16.3479,20.245113,24.328674,17.061117,13.9473,17.190891,24.773277,19.142673,18.647753,16.837658,13.892263,13.169493,18.484573,19.639702,17.334751,14.468747,21.769547,16.203838,41.77579999999989
22,-26.518574,-30.820496,-32.114094,-33.512623,-29.810352,-30.179523,-36.732643,-29.429253,-29.040272,-34.581806,-32.81038,-31.431337,-31.425291,-27.205372,-30.36006,-33.97157,-33.42324,-28.203978,-28.742163,-34.4679,-17.530699999999797
23,8.136782,9.774512,4.5948763,6.908371,13.209844,11.3446455,9.023161,8.299969,8.651728,12.159462,13.426261,8.13021,9.465859,6.6362524,12.91842,11.555062,11.885983,8.640353,8.253345,6.242939,-17.296200000000226
24,69.817604,68.37941,65.46929,63.062714,67.139885,64.603615,59.671944,67.06952,62.579304,69.4494,68.051605,65.360886,69.837395,70.22116,70.65421,69.918976,65.05946,65.51392,65.66909,66.17845,90.37469999999985
25,75.90492,77.66039,75.94506,76.473,78.54988,75.097115,71.74698,73.89759,81.301476,78.35105,78.30326,74.155136,75.77457,74.25585,78.64396,80.27866,71.53784,75.78377,75.0951,77.97659,30.76740000000018
26,44.52123,47.60751,44.545464,43.854614,46.596954,42.325768,37.267857,43.391773,45.600437,43.91138,46.754646,42.9251,44.386192,48.020355,47.563744,47.05755,45.171135,44.494976,49.360184,45.842567,-4.4452000000001135
